Sample	Encoding	total_read_pairs	trimmed_read_pairs	avg_sequence_length	sequence_length	gc_content	percent_duplication	percent_aligned	inner_distance_maxima	median_insert_size	mean_insert_size	mean_mapping_quality	mean_coverage	avg_aligned_read_length	pct_mrna_bases	pct_coding_bases	pct_intronic_bases	pct_utr_bases	pct_intergenic_bases	median_cv_coverage	median_5prime_to_3prime_bias	median_5prime_bias	median_3prime_bias	rRNA_percent_aligned	uni_vec_percent_aligned	percent_antisense_strand	percent_sense_strand	median_tin	TSS_Site	TissueType
TCGA-06-0125-01A-01R-1849	Sanger / Illumina 1.9	70469414	59145064	73.055	35-76	49.0	17.2	94.55	-7.5	186.0	2291.919	20.927	30.56	146	83.494	46.907	8.032	36.587	8.473	0.523	0.23	0.053	0.309	0.86	0.02	38.5	38.8	79.667	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0125-02A-11R-2005	Sanger / Illumina 1.9	62399519	50070809	72.985	35-76	49.0	18.4	95.05	-7.5	214.0	2673.331	17.337	31.17	146	90.549	53.094	3.403	37.454	6.047	0.49	0.334	0.07	0.282	0.73	0.01	42.1	41.7	82.035	Henry Ford Hospital	Recurrent Solid Tumor
TCGA-06-0129-01A-01R-1849	Sanger / Illumina 1.9	72950642	60709340	73.116	35-76	49.0	15.2	94.5	-7.5	187.0	2662.561	20.544	32.355	146	79.332	44.365	10.895	34.967	9.772	0.507	0.302	0.07	0.305	0.75	0.02	37.1	37.0	81.500	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0130-01A-01R-1849	Sanger / Illumina 1.9	62508132	50230092	73.065	35-76	49.0	19.9	94.43	-7.5	206.0	2344.615	22.536	24.342	146	86.168	48.552	5.697	37.616	8.134	0.546	0.212	0.052	0.352	0.87	0.02	39.8	39.7	75.949	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0132-01A-02R-1849	Sanger / Illumina 1.9	59671233	47731130	73.122	35-76	48.0	26.7	93.91	-7.5	184.0	2015.07	20.5	22.869	146	85.128	43.937	2.787	41.191	12.082	0.544	0.194	0.053	0.391	1.09	0.01	26.9	26.3	75.740	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0138-01A-02R-1849	Sanger / Illumina 1.9	53137713	43834278	73.074	35-76	48.0	26.1	89.8	-7.5	186.0	1852.715	25.427	18.267	146	84.71	40.438	4.947	44.271	10.338	0.59	0.194	0.056	0.413	5.02	0.01	37.9	37.0	68.650	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0139-01A-01R-1849	Sanger / Illumina 1.9	55623746	13538381	72.961	35-76	49.0	18.4	91.47	-17.5	187.0	2108.513	22.101	6.457	146	87.728	50.396	4.117	37.331	8.142	0.559	0.288	0.079	0.337	3.1	0.01	44.7	44.6	68.001	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0141-01A-01R-1849	Sanger / Illumina 1.9	73771151	60676926	73.212	35-76	47.0	31.9	93.7	-7.5	177.0	1838.183	25.089	24.151	146	75.936	37.983	5.21	37.953	18.853	0.599	0.135	0.041	0.405	0.86	0.01	0.5	0.5	70.130	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0152-02A-01R-2005	Sanger / Illumina 1.9	67872736	55053781	72.978	35-76	49.0	16.7	94.15	-7.5	191.0	2383.986	19.387	30.181	146	86.853	49.253	6.068	37.601	7.077	0.516	0.307	0.069	0.3	1.17	0.02	41.7	42.0	80.692	Henry Ford Hospital	Recurrent Solid Tumor
TCGA-06-0156-01A-02R-1849	Sanger / Illumina 1.9	59465386	46530007	73.107	35-76	49.0	17.4	93.61	-7.5	186.0	2492.076	19.883	24.996	146	83.112	45.88	7.013	37.232	9.874	0.514	0.323	0.077	0.311	1.41	0.01	38.6	38.8	80.958	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0156-01A-03R-1849	Sanger / Illumina 1.9	55681868	46869468	73.07	35-76	49.0	19.4	93.03	-7.5	202.0	2535.534	19.585	25.538	146	85.122	47.826	6.087	37.296	8.789	0.522	0.354	0.081	0.319	1.81	0.01	38.6	38.7	80.082	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0157-01A-01R-1849	Sanger / Illumina 1.9	68986421	54940861	73.008	35-76	50.0	22.6	92.06	-7.5	180.0	2145.337	20.438	28.086	146	86.372	44.787	4.886	41.585	8.737	0.526	0.254	0.063	0.344	3.41	0.01	38.0	38.2	78.606	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0158-01A-01R-1849	Sanger / Illumina 1.9	71619203	57378362	72.959	35-76	50.0	18.4	94.19	-7.5	187.0	2428.101	20.121	29.997	146	85.346	46.893	6.871	38.452	7.782	0.512	0.27	0.065	0.328	1.12	0.02	38.8	38.6	80.303	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0168-01A-01R-1849	Sanger / Illumina 1.9	57117978	11534531	72.901	35-76	50.0	13.7	93.41	-17.5	179.0	2010.788	20.605	5.53	146	88.128	49.507	2.665	38.621	9.201	0.544	0.203	0.066	0.371	1.66	0.01	43.4	43.6	71.568	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0171-02A-11R-2005	Sanger / Illumina 1.9	67601421	58703337	73.157	35-76	49.0	22.5	93.94	-17.5	181.0	2276.059	18.061	33.757	146	86.745	51.262	4.75	35.483	8.503	0.498	0.305	0.073	0.297	1.82	0.01	27.3	27.8	81.490	Henry Ford Hospital	Recurrent Solid Tumor
TCGA-06-0174-01A-01R-1849	Sanger / Illumina 1.9	59414945	49647755	72.96	35-76	49.0	18.7	93.8	-7.5	202.0	2376.577	19.532	28.206	146	90.437	51.174	3.936	39.263	5.623	0.515	0.263	0.065	0.31	1.67	0.02	44.3	43.8	80.005	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0178-01A-01R-1849	Sanger / Illumina 1.9	57013241	46854831	73.021	35-76	50.0	34.0	86.3	-7.5	193.0	1900.516	18.789	24.196	146	87.181	51.007	3.573	36.174	9.232	0.542	0.315	0.083	0.354	7.25	0.01	38.0	37.2	73.845	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0184-01A-01R-1849	Sanger / Illumina 1.9	69548902	54563171	72.979	35-76	50.0	25.4	93.8	-7.5	200.0	2319.673	20.399	29.36	146	87.394	49.655	3.456	37.739	9.146	0.529	0.237	0.067	0.367	1.44	0.01	33.0	32.8	76.510	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0187-01A-01R-1849	Sanger / Illumina 1.9	63019068	53652531	72.985	35-76	50.0	24.0	90.73	-7.5	186.0	2128.046	19.699	28.197	146	86.768	47.044	4.354	39.724	8.867	0.511	0.278	0.063	0.311	4.78	0.01	40.6	40.0	80.202	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0190-01A-01R-1849	Sanger / Illumina 1.9	58904055	45997913	73.009	35-76	50.0	18.2	94.16	-7.5	203.0	2289.35	20.149	24.142	146	88.602	51.259	4.619	37.343	6.775	0.526	0.299	0.067	0.309	1.21	0.01	41.9	41.4	78.325	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0190-02A-01R-2005	Sanger / Illumina 1.9	64632984	50582739	73.043	35-76	50.0	21.9	94.54	-17.5	205.0	2219.809	21.273	26.018	146	89.326	53.24	4.011	36.086	6.661	0.531	0.218	0.054	0.323	1.0	0.02	40.6	41.0	77.719	Henry Ford Hospital	Recurrent Solid Tumor
TCGA-06-0210-01A-01R-1849	Sanger / Illumina 1.9	68526579	57325745	73.124	35-76	49.0	24.4	93.35	-7.5	192.0	2219.176	20.192	29.444	146	84.833	47.406	5.425	37.427	9.741	0.528	0.245	0.055	0.323	1.53	0.01	36.3	35.9	78.402	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0210-02A-01R-2005	Sanger / Illumina 1.9	66608776	55054283	72.997	35-76	49.0	23.1	93.67	-7.5	195.0	2332.098	19.343	28.743	146	85.309	47.516	4.203	37.794	10.486	0.518	0.217	0.054	0.312	1.71	0.02	34.1	33.7	79.287	Henry Ford Hospital	Recurrent Solid Tumor
TCGA-06-0211-01A-01R-1849	Sanger / Illumina 1.9	64041945	53167098	73.058	35-76	50.0	19.0	93.54	-17.5	182.0	2236.317	19.208	30.447	146	88.57	51.46	5.436	37.11	5.986	0.513	0.276	0.063	0.311	1.94	0.01	43.7	43.1	80.222	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0211-01B-01R-1849	Sanger / Illumina 1.9	69697251	57442487	73.105	35-76	49.0	18.2	94.26	-7.5	199.0	2592.146	17.253	36.721	146	89.276	52.96	4.765	36.316	5.957	0.514	0.314	0.066	0.29	1.12	0.01	43.5	43.2	81.694	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0211-02A-02R-2005	Sanger / Illumina 1.9	56663480	48860332	73.021	35-76	49.0	22.5	90.63	-7.5	196.0	2231.909	19.684	26.427	146	88.123	48.472	4.303	39.651	7.56	0.528	0.311	0.075	0.324	4.64	0.01	41.8	40.9	78.673	Henry Ford Hospital	Recurrent Solid Tumor
TCGA-06-0219-01A-01R-1849	Sanger / Illumina 1.9	65677435	53899791	72.969	35-76	49.0	35.1	85.02	-7.5	180.0	1859.803	20.05	26.985	146	86.262	44.494	3.592	41.769	10.113	0.551	0.29	0.078	0.377	9.3	0.01	37.4	37.2	71.045	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0221-02A-11R-2005	Sanger / Illumina 1.9	58954447	49285554	72.928	35-76	49.0	13.8	92.2	-2.5	197.0	2800.868	17.926	30.505	146	82.342	46.094	8.02	36.248	9.634	0.5	0.385	0.074	0.266	2.99	0.02	37.6	38.1	83.395	Henry Ford Hospital	Recurrent Solid Tumor
TCGA-06-0238-01A-02R-1849	Sanger / Illumina 1.9	65961459	56286115	73.143	35-76	48.0	32.8	84.51	-17.5	165.0	1701.323	23.459	24.598	146	81.903	37.773	5.456	44.13	12.612	0.572	0.184	0.057	0.438	10.19	0.01	10.7	10.6	70.999	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0644-01A-02R-1849	Sanger / Illumina 1.9	64242189	54291904	72.972	35-76	50.0	21.0	94.22	-7.5	225.0	2491.133	18.341	32.338	146	92.698	55.934	2.287	36.764	5.012	0.526	0.297	0.053	0.297	1.35	0.01	44.0	43.6	78.857	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0645-01A-01R-1849	Sanger / Illumina 1.9	60461858	50508439	73.051	35-76	50.0	23.1	93.96	-7.5	192.0	2113.686	20.632	25.205	146	88.504	50.348	3.891	38.155	7.602	0.533	0.25	0.063	0.335	1.36	0.01	38.3	38.4	77.026	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0646-01A-01R-1849	Sanger / Illumina 1.9	59325566	51105237	73.019	35-76	50.0	18.8	93.81	-7.5	188.0	2318.742	19.525	26.854	146	83.12	47.503	7.17	35.617	9.708	0.507	0.342	0.072	0.299	1.59	0.02	36.2	36.1	81.344	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0649-01B-01R-1849	Sanger / Illumina 1.9	63322807	44401934	73.016	35-76	49.0	25.4	91.73	-7.5	183.0	2334.156	19.97	22.982	146	82.993	44.032	4.655	38.961	12.347	0.546	0.242	0.059	0.339	3.25	0.01	0.3	0.2	76.731	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0686-01A-01R-1849	Sanger / Illumina 1.9	64105746	23773553	72.966	35-76	50.0	16.3	93.54	-17.5	171.0	1990.013	21.812	11.362	146	85.911	46.551	5.174	39.36	8.911	0.583	0.214	0.058	0.337	1.35	0.01	42.1	42.0	70.543	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0743-01A-01R-1849	Sanger / Illumina 1.9	61232113	52542665	73.078	35-76	49.0	24.0	93.97	-7.5	177.0	1986.983	28.284	19.584	146	77.817	37.639	7.546	40.177	14.634	0.619	0.141	0.051	0.437	1.05	0.02	21.8	21.4	67.085	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0744-01A-01R-1849	Sanger / Illumina 1.9	62171889	52300174	73.089	35-76	49.0	25.3	92.58	-7.5	182.0	2003.531	24.477	21.26	146	77.718	42.039	7.357	35.678	14.922	0.57	0.187	0.055	0.412	1.74	0.01	19.1	19.2	71.324	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0745-01A-01R-1849	Sanger / Illumina 1.9	76923717	65832669	72.952	35-76	50.0	30.5	86.13	-7.5	170.0	1849.132	21.549	33.297	146	86.63	43.212	4.125	43.418	9.218	0.574	0.212	0.064	0.401	8.98	0.01	39.9	39.1	72.340	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0747-01A-01R-1849	Sanger / Illumina 1.9	68462761	57708446	72.937	35-76	50.0	20.2	94.43	-7.5	187.0	2268.368	23.008	27.475	146	85.09	46.338	7.256	38.752	7.654	0.535	0.266	0.071	0.335	0.87	0.02	40.6	40.4	76.985	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0749-01A-01R-1849	Sanger / Illumina 1.9	59301950	50128858	72.987	35-76	50.0	27.3	93.16	-7.5	178.0	1850.821	26.574	19.776	146	86.159	40.569	3.732	45.59	10.106	0.629	0.134	0.044	0.452	1.96	0.02	19.3	19.0	64.902	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0750-01A-01R-1849	Sanger / Illumina 1.9	65393893	53963683	73.023	35-76	49.0	29.8	90.26	-7.5	171.0	1693.287	28.289	20.779	146	83.658	38.886	4.85	44.772	11.472	0.645	0.122	0.043	0.473	4.8	0.01	32.9	33.0	63.978	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0878-01A-01R-1849	Sanger / Illumina 1.9	65521387	23625930	73.674	35-76	48.0	21.1	94.06	-37.5	176.0	2029.368	20.704	12.254	147	86.432	45.31	5.269	41.122	8.297	0.532	0.166	0.048	0.387	1.15	0.02	43.6	43.5	75.779	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-0882-01A-01R-1849	Sanger / Illumina 1.9	68330362	55231328	73.689	35-76	48.0	25.3	94.06	-27.5	170.0	1946.396	19.795	28.809	147	84.44	44.036	4.402	40.403	11.156	0.521	0.208	0.064	0.409	1.3	0.02	31.0	31.3	78.516	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-1804-01A-01R-1849	Sanger / Illumina 1.9	70052223	59409539	72.439	35-76	49.0	16.0	93.91	-7.5	181.0	2409.395	21.056	28.652	145	77.837	41.995	10.054	35.842	12.108	0.513	0.285	0.062	0.308	0.98	0.01	30.3	29.9	80.954	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2557-01A-01R-1849	Sanger / Illumina 1.9	70630407	60858748	73.673	35-76	49.0	22.1	91.67	-27.5	166.0	2313.707	19.488	34.311	147	82.458	44.633	7.151	37.825	10.365	0.513	0.279	0.072	0.343	3.58	0.02	34.3	34.6	79.852	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2558-01A-01R-1849	Sanger / Illumina 1.9	63620321	48873019	73.756	35-76	48.0	21.1	93.69	-27.5	179.0	2245.289	18.424	28.636	147	85.679	47.483	5.106	38.197	9.211	0.522	0.315	0.073	0.324	1.22	0.02	37.7	37.7	80.330	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2559-01A-01R-1849	Sanger / Illumina 1.9	58242617	48545280	73.76	35-76	47.0	20.1	94.34	-27.5	185.0	2274.219	20.152	26.109	147	84.062	45.54	8.975	38.522	6.959	0.513	0.316	0.077	0.311	0.89	0.02	42.9	42.9	79.835	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2561-01A-02R-1849	Sanger / Illumina 1.9	59387443	49080425	73.573	35-76	48.0	25.6	92.61	-27.5	175.0	2107.083	20.428	24.536	147	80.081	40.388	6.649	39.693	13.249	0.507	0.334	0.081	0.36	2.61	0.01	9.5	9.8	79.830	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2562-01A-01R-1849	Sanger / Illumina 1.9	64706749	55443878	73.751	35-76	49.0	22.3	94.71	-17.5	181.0	2145.24	19.875	30.301	147	85.563	46.877	5.883	38.686	8.553	0.524	0.257	0.054	0.276	0.98	0.01	35.7	35.5	78.755	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2563-01A-01R-1849	Sanger / Illumina 1.9	62810580	50788872	73.739	35-76	49.0	21.8	93.22	-17.5	188.0	2205.186	19.29	29.376	147	86.247	49.132	5.979	37.115	7.769	0.526	0.266	0.06	0.288	1.95	0.02	40.4	40.8	79.923	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2564-01A-01R-1849	Sanger / Illumina 1.9	66965643	59622462	73.822	35-76	48.0	22.9	94.71	-27.5	177.0	2163.174	18.89	34.422	147	85.644	46.618	6.464	39.026	7.891	0.514	0.281	0.061	0.283	0.98	0.01	38.5	38.9	81.139	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2565-01A-01R-1849	Sanger / Illumina 1.9	66286376	57644920	73.726	35-76	48.0	19.0	94.52	-17.5	185.0	2285.644	20.686	31.916	147	81.364	45.82	10.366	35.544	8.268	0.507	0.327	0.077	0.292	0.96	0.02	40.2	40.6	81.920	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2567-01A-01R-1849	Sanger / Illumina 1.9	67328569	56950207	73.689	35-76	49.0	18.6	94.17	-17.5	200.0	2422.874	19.47	31.897	147	86.472	49.288	5.874	37.183	7.652	0.512	0.321	0.065	0.293	1.19	0.01	40.4	40.6	80.360	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2569-01A-01R-1849	Sanger / Illumina 1.9	62813502	53648082	73.742	35-76	49.0	20.8	93.1	-17.5	198.0	2075.059	21.258	27.341	147	84.81	51.675	8.434	33.136	6.751	0.513	0.275	0.063	0.307	1.34	0.01	44.0	43.5	78.914	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-2570-01A-01R-1849	Sanger / Illumina 1.9	65227475	52463625	73.676	35-76	49.0	19.8	93.8	-27.5	174.0	2071.654	19.17	27.879	147	82.115	46.29	7.391	35.826	10.491	0.517	0.326	0.074	0.301	1.06	0.02	35.4	35.5	80.300	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5408-01A-01R-1849	Sanger / Illumina 1.9	65822353	54984433	72.453	35-76	49.0	18.6	93.66	-7.5	198.0	2352.812	19.317	30.602	145	91.74	51.697	3.412	40.043	4.846	0.528	0.262	0.062	0.344	1.13	0.01	44.8	44.6	78.794	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5410-01A-01R-1849	Sanger / Illumina 1.9	71857136	59910483	72.341	35-76	49.0	27.6	90.3	-17.5	189.0	2107.34	18.776	32.189	144	90.91	50.991	3.161	39.919	5.877	0.525	0.255	0.066	0.36	4.66	0.01	39.1	38.9	79.203	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5411-01A-01R-1849	Sanger / Illumina 1.9	70925264	59653283	72.449	35-76	49.0	22.3	93.19	-7.5	192.0	2457.14	17.157	35.449	145	87.397	48.215	4.143	39.181	8.454	0.534	0.284	0.06	0.322	1.51	0.02	36.9	37.1	80.654	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5412-01A-01R-1849	Sanger / Illumina 1.9	64864795	53997212	72.42	35-76	49.0	23.3	93.16	-7.5	206.0	2406.426	19.019	30.145	145	90.497	51.925	3.337	38.572	6.162	0.537	0.259	0.059	0.326	1.63	0.01	42.4	42.0	77.991	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5413-01A-01R-1849	Sanger / Illumina 1.9	63690187	53656763	72.547	35-76	48.0	20.3	92.74	-7.5	199.0	2466.666	17.442	33.075	145	91.428	52.407	3.309	39.021	5.259	0.538	0.271	0.064	0.318	1.7	0.01	45.3	45.4	79.561	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5414-01A-01R-1849	Sanger / Illumina 1.9	73717049	61744526	73.48	35-76	49.0	22.3	92.96	-17.5	181.0	2265.138	17.696	38.336	146	90.047	52.32	4.078	37.727	5.861	0.521	0.331	0.067	0.284	2.6	0.01	43.9	43.7	81.185	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5416-01A-01R-1849	Sanger / Illumina 1.9	64699796	34500702	73.463	35-76	49.0	19.4	91.53	-17.5	182.0	2283.078	17.554	21.126	146	86.48	51.635	5.251	34.844	8.263	0.559	0.331	0.069	0.288	3.06	0.01	41.6	41.2	77.424	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5417-01A-01R-1849	Sanger / Illumina 1.9	61940159	12491017	73.541	35-76	46.0	17.5	91.14	-17.5	182.0	2128.993	20.387	6.845	147	88.3	47.49	4.695	40.81	6.867	0.593	0.121	0.032	0.305	3.49	0.01	46.9	47.2	72.405	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5418-01A-01R-1849	Sanger / Illumina 1.9	67699331	54512423	73.452	35-76	49.0	24.5	90.55	-17.5	176.0	2054.457	19.277	29.958	146	87.385	49.082	5.837	38.303	6.774	0.529	0.289	0.062	0.294	4.48	0.01	41.0	41.1	79.243	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5856-01A-01R-1849	Sanger / Illumina 1.9	64153809	54035343	72.582	35-76	48.0	19.9	94.43	-7.5	193.0	2419.318	20.332	29.843	145	89.253	48.985	4.809	40.268	5.938	0.541	0.223	0.052	0.338	0.56	0.01	43.0	43.3	78.577	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5858-01A-01R-1849	Sanger / Illumina 1.9	63880836	54442191	72.579	35-76	48.0	18.9	93.96	-7.5	189.0	2496.209	19.655	31.625	145	88.794	49.125	4.657	39.669	6.547	0.53	0.236	0.049	0.315	1.06	0.01	40.7	40.6	79.503	Henry Ford Hospital	Primary Solid Tumor
TCGA-06-5859-01A-01R-1849	Sanger / Illumina 1.9	67404657	56839356	72.423	35-76	49.0	22.0	94.1	-7.5	198.0	2552.297	17.701	34.53	145	91.982	51.633	3.226	40.349	4.791	0.519	0.299	0.064	0.3	1.18	0.01	43.8	44.0	80.458	Henry Ford Hospital	Primary Solid Tumor
TCGA-08-0386-01A-01R-1849	Sanger / Illumina 1.9	61231796	51551634	72.99	35-76	50.0	17.1	93.98	-7.5	186.0	2393.3	18.153	29.565	146	86.29	49.339	5.239	36.95	8.469	0.514	0.347	0.072	0.28	1.56	0.02	39.5	39.8	81.181	UCSF	Primary Solid Tumor
TCGA-12-0616-01A-01R-1849	Sanger / Illumina 1.9	60621954	35684560	72.994	35-76	49.0	26.2	86.06	-7.5	174.0	1840.278	21.413	17.177	146	85.769	44.179	5.027	41.59	9.192	0.551	0.269	0.07	0.373	8.86	0.01	36.4	35.7	74.205	Duke	Primary Solid Tumor
TCGA-12-0618-01A-01R-1849	Sanger / Illumina 1.9	74663860	64536067	73.112	35-76	49.0	19.2	93.29	-7.5	180.0	2351.878	19.24	35.909	146	85.31	46.498	7.448	38.812	7.239	0.53	0.269	0.064	0.321	1.99	0.02	42.0	42.0	80.405	Duke	Primary Solid Tumor
TCGA-12-0619-01A-01R-1849	Sanger / Illumina 1.9	70769668	59129517	72.942	35-76	50.0	21.5	93.16	-7.5	193.0	2359.799	20.914	30.369	146	83.844	48.582	6.507	35.262	9.646	0.509	0.321	0.064	0.296	1.85	0.01	33.4	33.0	80.247	Duke	Primary Solid Tumor
TCGA-12-0821-01A-01R-1849	Sanger / Illumina 1.9	81116196	53871433	73.667	35-76	48.0	25.8	92.53	-37.5	166.0	1747.692	21.911	26.721	147	88.566	44.959	4.113	43.607	7.317	0.56	0.199	0.051	0.383	2.62	0.01	41.0	41.3	74.263	Duke	Primary Solid Tumor
TCGA-12-1597-01B-01R-1849	Sanger / Illumina 1.9	68976220	50945100	73.201	35-76	51.0	37.0	74.25	-7.5	173.0	1470.311	20.349	25.04	146	87.695	40.46	4.356	47.235	7.858	0.551	0.188	0.048	0.331	20.6	0.01	44.4	43.7	75.722	Duke	Primary Solid Tumor
